Registreringsnummer;Selskap;Type kjøretøy;Unntak;Kommentar
EF 15130;Ambulanser;Liten;false;
EF 38914;Ambulanser;Liten;false;
KZ 62982;Ambulanser;Liten;false;
RL 47028;Ambulanser;Liten;false;
SV 17968;Ambulanser;Liten;false;
SV 34848;Ambulanser;Liten;false;
SV 55616;Ambulanser;Liten;false;
SV 55618;Ambulanser;Liten;false;
SV 55619;Ambulanser;Liten;false;
SV 62721;Ambulanser;Liten;false;
SV 62723;Ambulanser;Liten;false;
SV 76157;Ambulanser;Liten;false;
SV 76158;Ambulanser;Liten;false;
SV 76159;Ambulanser;Liten;false;
SV 76160;Ambulanser;Liten;false;
SV 76161;Ambulanser;Liten;false;
SV 83343;Ambulanser;Liten;false;
SV 83344;Ambulanser;Liten;false;
SV 83345;Ambulanser;Liten;false;
SV 84816;Ambulanser;Liten;false;
SV 84817;Ambulanser;Liten;false;
SV 92398;Ambulanser;Liten;false;
SV 92399;Ambulanser;Liten;false;
SV 92400;Ambulanser;Liten;false;
SV 93799;Ambulanser;Liten;false;
SV 93800;Ambulanser;Liten;false;
SV 93801;Ambulanser;Liten;false;
SV 93802;Ambulanser;Liten;false;
SV 93803;Ambulanser;Liten;false;
SX 11655;Ambulanser;Liten;false;
SX 11656;Ambulanser;Liten;false;
SX 11657;Ambulanser;Liten;false;
SX 15252;Ambulanser;Liten;false;
SX 15253;Ambulanser;Liten;false;
SX 16246;Ambulanser;Liten;false;
SX 16247;Ambulanser;Liten;false;
SX 16248;Ambulanser;Liten;false;
SX 16249;Ambulanser;Liten;false;
SX 20579;Ambulanser;Liten;false;
SX 20580;Ambulanser;Liten;false;
SX 20581;Ambulanser;Liten;false;
SX 23028;Ambulanser;Liten;false;
SX 23029;Ambulanser;Liten;false;
SX 23030;Ambulanser;Liten;false;
SX 23041;Ambulanser;Liten;false;
SX 25916;Ambulanser;Liten;false;
SX 25917;Ambulanser;Liten;false;
SX 25918;Ambulanser;Liten;false;
SX 28679;Ambulanser;Liten;false;
SX 29704;Ambulanser;Liten;false;
SX 29705;Ambulanser;Liten;false;
SX 29706;Ambulanser;Liten;false;
SX 29707;Ambulanser;Liten;false;
SX 29708;Ambulanser;Liten;false;
SX 32143;Ambulanser;Liten;false;
SX 32144;Ambulanser;Liten;false;
SX 32145;Ambulanser;Liten;false;
SX 32982;Ambulanser;Liten;false;
SX 35459;Ambulanser;Liten;false;
SX 35460;Ambulanser;Liten;false;
SX 35461;Ambulanser;Liten;false;
SU 41238;Hospitaldrifter;Stor;false;
SV 64132;Hospitaldrifter;Stor;false;
SV 88737;Hospitaldrifter;Stor;false;
SV 93590;Hospitaldrifter;Stor;false;
SX 23467;Hospitaldrifter;Stor;false;
SX 31313;Hospitaldrifter;Stor;false;
EJ 17754;Hospitaldrifter;Stor;false;
SV 70117;Hospitaldrifter;Liten;false;
SD 97684;Hospitaldrifter;Liten;false;
SX 16779;Hospitaldrifter;Liten;false;
