Internnr;Registreringsnummer;Marke;VIN;Lengde;Selskap;Type kjøretøy;Unntak;Kommentar
3001;EB 75753;Solaris;SUU341210LB022152;Trolley 18m;Tide;Leddbuss;true;
3002;EB 75754;Solaris;SUU341210LB022153;Trolley 18m;Tide;Leddbuss;true;
3003;EB 75755;Solaris;SUU341210LB022154;Trolley 18m;Tide;Leddbuss;true;
3004;EB 75756;Solaris;SUU341210LB022155;Trolley 18m;Tide;Leddbuss;true;
3005;EB 75757;Solaris;SUU341210LB022156;Trolley 18m;Tide;Leddbuss;true;
3006;EB 75758;Solaris;SUU341210LB022157;Trolley 18m;Tide;Leddbuss;true;
3007;EB 75759;Solaris;SUU341210LB022158;Trolley 18m;Tide;Leddbuss;true;
3008;EB 75760;Solaris;SUU341210LB022159;Trolley 18m;Tide;Leddbuss;true;
3009;EB 84388;Solaris;SUU341210LB022160;Trolley 18m;Tide;Leddbuss;true;
3010;EB 84389;Solaris;SUU341210LB022161;Trolley 18m;Tide;Leddbuss;true;
3101;EB 75692;Yutong;LZYTMGEW6L1058107;12m;Tide;Toakslet buss;true;
3102;EB 75683;Yutong;LZYTMGEW3L1011052;12m;Tide;Toakslet buss;true;
3103;EB 50861;Yutong;LZYTMGEW9L1011122;12m;Tide;Toakslet buss;true;
3104;EB 50862;Yutong;LZYTMGEW0L1011123;12m;Tide;Toakslet buss;true;
3105;EB 75685;Yutong;LZYTMGEW2L1011124;12m;Tide;Toakslet buss;true;
3106;EB 50864;Yutong;LZYTMGEW4L1011125;12m;Tide;Toakslet buss;true;
3107;EB 50865;Yutong;LZYTMGEW6L1011126;12m;Tide;Toakslet buss;true;
3108;EB 50863;Yutong;LZYTMGEW8L1011127;12m;Tide;Toakslet buss;true;
3109;EB 75674;Yutong;LZYTMGEWXL1011128;12m;Tide;Toakslet buss;true;
3110;EB 75690;Yutong;LZYTMGEW1L1011129;12m;Tide;Toakslet buss;true;
3111;EB 75688;Yutong;LZYTMGEW8L1011130;12m;Tide;Toakslet buss;true;
3112;EB 75689;Yutong;LZYTMGEWXL1011131;12m;Tide;Toakslet buss;true;
3113;EB 75676;Yutong;LZYTMGEW1L1011132;12m;Tide;Toakslet buss;true;
